"Rk.x","Player","Debut.x","Age.x","Yrs.x","G.x","MP...7.x","FG.x","FGA.x","3P.x","3PA.x","FT.x","FTA.x","ORB.x","TRB...15.x","AST...16.x","STL...17.x","BLK...18.x","TOV.x","PF.x","PTS...21.x","FG%.x","3P%.x","FT%.x","MP...25.x","PTS...26.x","TRB...27.x","AST...28.x","STL...29.x","BLK...30.x","year","first_team","Rk.y","Debut.y","Age.y","Yrs.y","G.y","MP...7.y","FG.y","FGA.y","3P.y","3PA.y","FT.y","FTA.y","ORB.y","TRB...15.y","AST...16.y","STL...17.y","BLK...18.y","TOV.y","PF.y","PTS...21.y","FG%.y","3P%.y","FT%.y","MP...25.y","PTS...26.y","TRB...27.y","AST...28.y","STL...29.y","BLK...30.y"
24,"J.J. Hickson","Oct 30, '08, CLE vs. CHA",20,1,62,705,100,194,0,0,45,67,52,165,9,14,30,45,81,245,0.515,NA,0.672,11.4,4,2.7,0.1,0.2,0.5,2008,"CLE",24,"Oct 30, '08, CLE vs. CHA",20,8,534,11925,2049,4056,0,21,983,1593,1173,3639,449,274,309,774,1033,5081,0.505,0,0.617,22.3,9.5,6.8,0.8,0.5,0.6
25,"George Hill","Nov 4, '08, SAS vs. DAL",22,1,77,1270,150,372,24,73,114,146,30,158,136,45,21,74,150,438,0.403,0.329,0.781,16.5,5.7,2.1,1.8,0.6,0.3,2008,"SAS",25,"Nov 4, '08, SAS vs. DAL",22,15,915,24501,3377,7393,1066,2808,1725,2141,533,2731,2807,806,233,1091,1759,9545,0.457,0.38,0.806,26.8,10.4,3,3.1,0.9,0.3
26,"Steven Hill","Nov 12, '08, OKC vs. ORL",23,1,1,2,1,1,0,0,0,0,2,3,0,0,0,0,0,2,1,NA,NA,2,2,3,0,0,0,2008,"OKC",26,"Nov 12, '08, OKC vs. ORL",23,1,1,2,1,1,0,0,0,0,2,3,0,0,0,0,0,2,1,NA,NA,2,2,3,0,0,0
27,"Othello Hunter","Nov 11, '08, ATL @ CHI",22,1,16,92,11,20,0,0,0,5,9,24,1,2,5,2,11,22,0.55,NA,0,5.8,1.4,1.5,0.1,0.1,0.3,2008,"ATL",27,"Nov 11, '08, ATL @ CHI",22,2,23,125,15,32,0,0,3,9,15,36,1,2,6,5,16,33,0.469,NA,0.333,5.4,1.4,1.6,0,0.1,0.3
28,"Darnell Jackson","Nov 25, '08, CLE @ NYK",23,1,51,430,37,86,0,2,24,35,32,87,8,10,4,14,77,98,0.43,0,0.686,8.4,1.9,1.7,0.2,0.2,0.1,2008,"CLE",28,"Nov 25, '08, CLE @ NYK",23,3,138,1039,123,274,4,17,58,90,90,203,26,24,11,50,159,308,0.449,0.235,0.644,7.5,2.2,1.5,0.2,0.2,0.1
29,"Nathan Jawai","Jan 21, '09, TOR @ DET",22,1,6,19,1,4,0,0,0,0,1,2,0,0,0,2,3,2,0.25,NA,NA,3.2,0.3,0.3,0,0,0,2008,"TOR",29,"Jan 21, '09, TOR @ DET",22,2,45,431,50,115,0,1,26,38,50,106,24,10,9,29,61,126,0.435,0,0.684,9.6,2.8,2.4,0.5,0.2,0.2
30,"Dontell Jefferson","Apr 5, '09, CHA @ DET",25,1,6,84,11,22,1,2,6,9,1,12,9,4,1,6,9,29,0.5,0.5,0.667,14,4.8,2,1.5,0.7,0.2,2008,"CHA",30,"Apr 5, '09, CHA @ DET",25,1,6,84,11,22,1,2,6,9,1,12,9,4,1,6,9,29,0.5,0.5,0.667,14,4.8,2,1.5,0.7,0.2
31,"Trey Johnson","Feb 3, '09, CLE vs. TOR",24,1,4,14,0,5,0,0,4,4,0,1,0,0,0,1,4,4,0,NA,1,3.5,1,0.3,0,0,0,2008,"CLE",31,"Feb 3, '09, CLE vs. TOR",24,3,23,169,20,52,1,3,18,19,5,20,15,2,1,11,26,59,0.385,0.333,0.947,7.3,2.6,0.9,0.7,0.1,0
32,"DeAndre Jordan","Nov 1, '08, LAC @ UTA",20,1,53,771,93,147,0,0,42,109,72,237,11,11,59,41,96,228,0.633,NA,0.385,14.5,4.3,4.5,0.2,0.2,1.1,2008,"LAC",32,"Nov 1, '08, LAC @ UTA",20,16,1055,27176,3765,5585,2,13,1742,3664,3107,10501,992,555,1541,1402,2610,9274,0.674,0.154,0.475,25.8,8.8,10,0.9,0.5,1.5
33,"Kosta Koufos","Nov 1, '08, UTA vs. LAC",19,1,48,565,94,185,0,0,36,51,50,138,20,12,31,26,70,224,0.508,NA,0.706,11.8,4.7,2.9,0.4,0.3,0.6,2008,"UTA",33,"Nov 1, '08, UTA vs. LAC",19,11,686,11271,1750,3277,0,4,413,710,1198,3452,359,291,506,479,1398,3913,0.534,0,0.582,16.4,5.7,5,0.5,0.4,0.7
34,"Rob Kurz","Nov 9, '08, GSW @ SAC",23,1,40,442,51,131,15,38,40,50,33,81,20,14,19,16,78,157,0.389,0.395,0.8,11.1,3.9,2,0.5,0.4,0.5,2008,"GSW",34,"Nov 9, '08, GSW @ SAC",23,1,40,442,51,131,15,38,40,50,33,81,20,14,19,16,78,157,0.389,0.395,0.8,11.1,3.9,2,0.5,0.4,0.5
35,"Courtney Lee","Nov 3, '08, ORL vs. CHI",23,1,77,1939,243,540,82,203,78,94,18,178,91,76,14,69,157,646,0.45,0.404,0.83,25.2,8.4,2.3,1.2,1,0.2,2008,"ORL",35,"Nov 3, '08, ORL vs. CHI",23,12,811,21938,2961,6567,876,2259,967,1134,364,2127,1353,809,213,762,1339,7765,0.451,0.388,0.853,27.1,9.6,2.6,1.7,1,0.3
36,"Brook Lopez","Oct 29, '08, NJN @ WAS",20,1,82,2501,448,844,0,2,172,217,225,665,86,44,151,147,257,1068,0.531,0,0.793,30.5,13,8.1,1,0.5,1.8,2008,"NJN",36,"Oct 29, '08, NJN @ WAS",20,16,1025,30976,6286,12673,936,2682,2968,3727,2048,6336,1472,583,1912,1667,2697,16476,0.496,0.349,0.796,30.2,16.1,6.2,1.4,0.6,1.9
