,"MPSSAA Basketball History of Finalists, 1947-2024",,,,,,
,GIRLS,,,,BOYS,,
,TEAM,YEAR,Final Standing,,TEAM,YEAR,Standing
,GOV. THOMAS JOHNSON,1983,Champion,,CRISFIELD,1957, Champion
,MOUNT SAVAGE,1983, Semifinalist,,FREDERICK,1957, Champion
,SNOW HILL,1983, Semifinalist,,VALLEY,1957, Champion
,WICOMICO,1983, Semifinalist,,ANNAPOLIS,1958, Semifinalist
,PAINT BRANCH,1983, Finalist,,CRISFIELD,1958, Semifinalist
,POTOMAC,1983, Finalist,,NEW WINDSOR,1958, Semifinalist
,SMITHSBURG,1983, Champion,,NORTH CARROLL,1958, Semifinalist
,SOUTHERN (AA),1983, Champion,,VALLEY,1958, Semifinalist
,SPRINGBROOK,1983, Champion,,WICOMICO,1958, Semifinalist
,DULANEY,1984,Semifinalist,,MONTGOMERY BLAIR,1958, Finalist
,FALLSTON,1984,Semifinalist,,GAITHERSBURG,1958, Finalist
,FORT HILL,1984,Semifinalist,,WALKERSVILLE,1958, Finalist
,CATONSVILLE,1984,Finalist,,CHESTERTOWN,1958, Champion
,CROSSLAND,1984,Champion,,FORT HILL,1958, Champion
,FAIRMONT HEIGHTS,1984,Champion,,HENRY E. LACKEY,1958, Champion
,SMITHSBURG,1984, Semifinalist,,ANNAPOLIS,1959, Semifinalist
,SOUTH RIVER,1984, Semifinalist,,CAMBRIDGE,1959, Semifinalist
,SOUTHERN (G),1984, Semifinalist,,CRISFIELD,1959, Semifinalist
,CHARLES W. WOODWARD,1984, Semifinalist,,HANCOCK,1959, Semifinalist
,NORTH CAROLINE,1984, Finalist,,NORTH HAGERSTOWN,1959, Semifinalist
,SPRINGBROOK,1984, Finalist,,RISING SUN,1959, Semifinalist
,OWINGS MILLS,1984, Champion,,ABERDEEN,1959, Finalist
,SOUTHERN (AA),1984, Champion,,HOWARD COUNTY,1959, Finalist
,WESTMINSTER,1984, Champion,,ELMER WOLFE,1959, Finalist
