"X","X.1","X.2","X.3","X.4","X.5","Totals","Totals.1","Totals.2","Totals.3","Totals.4","Shooting","Shooting.1","Shooting.2","Per.Game","Per.Game.1","Per.Game.2","Per.Game.3","Advanced","Advanced.1","Advanced.2","Advanced.3","Team"
"1964","NBA","10","80","Jim Christy","Georgetown","","","","","","","","","","","","","","","","","NYK"
"1964","NBA","11","87","Dennis Lynch","Yale","","","","","","","","","","","","","","","","","NYK"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","NYK"
"1963","NBA","1","1","Art Heyman","Duke","147","3019","1519","414","346",".427","",".679","20.5","10.3","2.8","2.4","4.0",".063","","","NYK"
"1963","NBA","2","10","Jerry Harkness","Loyola Chicago","5","59","29","6","6",".433","",".375","11.8","5.8","1.2","1.2","0.0","-0.017","","","NYK"
"1963","NBA","3","19","Bill O'Connor","Canisius","","","","","","","","","","","","","","","","","NYK"
"1963","NBA","4","28","Nate Cloud","University of Delaware","","","","","","","","","","","","","","","","","NYK"
"1963","NBA","5","37","Joe McDermott","Belmont Abbey College","","","","","","","","","","","","","","","","","NYK"
"1963","NBA","6","46","Jim Kerwin","Tulane","","","","","","","","","","","","","","","","","NYK"
"1963","NBA","7","55","Bob Woolard","Wake Forest","","","","","","","","","","","","","","","","","NYK"
"1963","NBA","8","64","Freddie Crawford","St. Bonaventure","297","5047","2031","746","610",".446","",".595","17.0","6.8","2.5","2.1","6.1",".058","","","NYK"
"1963","NBA","9","69","Ray Cronk","Lakeland College","","","","","","","","","","","","","","","","","NYK"
"1963","NBA","10","74","Gerald Glur","Furman University","","","","","","","","","","","","","","","","","NYK"
"1963","NBA","11","77","Orbie Bowling","Tennessee","","","","","","","","","","","","","","","","","NYK"
"1963","NBA","12","79","Bob Walters","Baldwin-Wallace College","","","","","","","","","","","","","","","","","NYK"
"1963","NBA","13","81","Jerry Szachara","Cornell","","","","","","","","","","","","","","","","","NYK"
"1963","NBA","14","83","Bill Raftery","La Salle","","","","","","","","","","","","","","","","","NYK"
"1963","NBA","15","84","Ron Pickett","Eastern Kentucky University","","","","","","","","","","","","","","","","","NYK"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","NYK"
"1962","NBA","1","2","Paul Hogue","Cincinnati","65","1487","409","461","48",".365","",".448","22.9","6.3","7.1","0.7","-1.1","-0.036","","","NYK"
"1962","NBA","2","11","John Rudometkin","USC","131","1644","822","412","72",".399","",".743","12.5","6.3","3.1","0.5","1.0",".030","","","NYK"
"1962","NBA","3","20","Bobby Rascoe","Western Kentucky","","","","","","","","","","","","","","","","","NYK"
"1962","NBA","4","29","Cliff Luyk (↳CHZ)","Florida","","","","","","","","","","","","","","","","","NYK"
"1962","NBA","5","38","Bob Burgess","Marshall","","","","","","","","","","","","","","","","","NYK"
"1962","NBA","6","47","Ken Stanley","University of the Pacific","","","","","","","","","","","","","","","","","NYK"
"1962","NBA","7","56","Richie Swartz","Hofstra","","","","","","","","","","","","","","","","","NYK"
"1962","NBA","8","64","Warren Fouts","Oklahoma","","","","","","","","","","","","","","","","","NYK"
"1962","NBA","9","73","Paul Benec","Duquesne","","","","","","","","","","","","","","","","","NYK"
"1962","NBA","10","82","Ralph Richardson","Eastern Kentucky University","","","","","","","","","","","","","","","","","NYK"
"1962","NBA","11","88","Ed Mazria","Pratt Institute","","","","","","","","","","","","","","","","","NYK"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","NYK"
"1961","NBA","1","2","Tom Stith","St. Bonaventure","25","209","77","39","18",".336","",".300","8.4","3.1","1.6","0.7","-0.6","-0.143","","","NYK"
"1961","NBA","2","15","Whitey Martin","St. Bonaventure","66","1018","227","158","115",".325","",".673","15.4","3.4","2.4","1.7","-0.5","-0.022","","","NYK"
"1961","NBA","3","24","Tony Jackson","St. John's","","","","","","","","","","","","","","","","","NYK"
"1961","NBA","4","33","George Blaney","Holy Cross","36","363","117","36","45",".380","",".529","10.1","3.3","1.0","1.3","-0.1","-0.014","","","NYK"
"1961","NBA","5","42","Bill Smith","Saint Peter's College","9","83","23","16","7",".242","",".875","9.2","2.6","1.8","0.8","-0.2","-0.101","","","NYK"
"1961","NBA","6","51","Cleveland Buckner","Jackson State University","68","723","411","240","44",".432","",".620","10.6","6.0","3.5","0.6","1.3",".087","","","NYK"
"1961","NBA","7","60","Donnie Butcher","Pikeville College","279","5085","1696","821","585",".397","",".629","18.2","6.1","2.9","2.1","4.5",".042","","","NYK"
"1961","NBA","8","69","Cedric Price","Kansas State","","","","","","","","","","","","","","","","","NYK"
"1961","NBA","9","77","Charlie Bowerman","Wabash College","","","","","","","","","","","","","","","","","NYK"
"1961","NBA","10","84","Ron Dibelius","UW-Milwaukee","","","","","","","","","","","","","","","","","NYK"
"1961","NBA","11","92","Kevin Loughery","St. John's","755","22208","11575","2254","2803",".413","",".803","29.4","15.3","3.0","3.7","29.8",".064","","","NYK"
"1961","NBA","12","99","Earl Shultz","California","","","","","","","","","","","","","","","","","NYK"
"1961","NBA","13","102","Ned Jennings","Kentucky","","","","","","","","","","","","","","","","","NYK"
"1961","NBA","14","105","Bill Engesser","USC","","","","","","","","","","","","","","","","","NYK"
"1961","NBA","15","107","Vince Kempton","Saint Joseph's","","","","","","","","","","","","","","","","","NYK"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","NYK"
"1960","NBA","1","3","Darrall Imhoff","California","801","17874","5759","6099","1405",".458","",".594","22.3","7.2","7.6","1.8","30.1",".081","","","NYK"
"1960","NBA","2","10","Dave Budd","Wake Forest","353","6389","2505","1623","337",".460","",".682","18.1","7.1","4.6","1.0","11.7",".088","","","NYK"
"1960","NBA","2","11","Kelly Coleman","Kentucky Wesleyan College","","","","","","","","","","","","","","","","","NYK"
"1960","NBA","3","19","Bob McNeill","Saint Joseph's","125","1828","575","179","327",".394","",".819","14.6","4.6","1.4","2.6","1.9",".050","","","NYK"
"1960","NBA","5","35","Charles McNeil","Maryland","","","","","","","","","","","","","","","","","NYK"
"1960","NBA","6","43","David Denton","Georgia Tech","","","","","","","","","","","","","","","","","NYK"
"1960","NBA","7","51","Dick Doughty","California","","","","","","","","","","","","","","","","","NYK"
"1960","NBA","8","58","George Price","Memphis","","","","","","","","","","","","","","","","","NYK"
"1960","NBA","9","65","Tony Davis","Hawaii","","","","","","","","","","","","","","","","","NYK"
"1960","NBA","10","72","Walter Mangham","Marquette","","","","","","","","","","","","","","","","","NYK"
"1960","NBA","11","77","Howard Willis","Grambling State University","","","","","","","","","","","","","","","","","NYK"
"1960","NBA","12","82","Henry Hart","Auburn","","","","","","","","","","","","","","","","","NYK"
"1960","NBA","13","86","Dick Furry","Ohio State","","","","","","","","","","","","","","","","","NYK"
"1960","NBA","14","90","Jim Hanna","USC","","","","","","","","","","","","","","","","","NYK"
"1960","NBA","15","92","Jerry Bechtle","Maryland","","","","","","","","","","","","","","","","","NYK"
"1960","NBA","16","94","Jerry Schofield","Utah State University","","","","","","","","","","","","","","","","","NYK"
"1960","NBA","17","96","Tandy Gillis","California","","","","","","","","","","","","","","","","","NYK"
"1960","NBA","18","98","George Krajack","Clemson","","","","","","","","","","","","","","","","","NYK"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","NYK"
"1959","NBA","1","6","Johnny Green","Michigan State","1057","24624","12281","9083","1449",".493","",".553","23.3","11.6","8.6","1.4","58.0",".113","","","NYK"
"1959","NBA","3","22","Bob Anderegg","Michigan State","33","373","133","69","29",".385","",".548","11.3","4.0","2.1","0.9","0.0",".002","","","NYK"
"1959","NBA","4","30","Johnny Cox","Kentucky","73","1685","573","280","142",".421","",".704","23.1","7.8","3.8","1.9","0.5",".015","","","NYK"
"1959","NBA","5","38","Herb Busch","Virginia","","","","","","","","","","","","","","","","","NYK"
"1959","NBA","6","46","Bucky McDonald","George Washington","","","","","","","","","","","","","","","","","NYK"
"1959","NBA","7","54","Russ Robinson","Missouri State","","","","","","","","","","","","","","","","","NYK"
"1959","NBA","8","60","Walt Torrence","UCLA","","","","","","","","","","","","","","","","","NYK"
"1959","NBA","9","66","Jerry Shipp","Southeastern Oklahoma State University","","","","","","","","","","","","","","","","","NYK"
"1959","NBA","10","72","Paul Wilcox","Davis & Elkins College","","","","","","","","","","","","","","","","","NYK"
"1959","NBA","11","78","Paul Benes","Hope College","","","","","","","","","","","","","","","","","NYK"
"1959","NBA","12","82","Ed Blair","Western Michigan","","","","","","","","","","","","","","","","","NYK"
"1959","NBA","13","84","John Nicoll","BYU","","","","","","","","","","","","","","","","","NYK"
"1959","NBA","14","85","Jack Israel","Missouri State","","","","","","","","","","","","","","","","","NYK"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","NYK"
"1958","NBA","1","3","Mike Farmer","San Francisco","423","8818","2816","1950","550",".393","",".814","20.8","6.7","4.6","1.3","6.3",".035","","","NYK"
"1958","NBA","1","4","Pete Brennan","UNC","16","136","40","31","6",".302","",".560","8.5","2.5","1.9","0.4","-0.1","-0.030","","","NYK"
"1958","NBA","2","12","Joe Quigg","UNC","","","","","","","","","","","","","","","","","NYK"
"1958","NBA","3","20","John Lee","Yale","","","","","","","","","","","","","","","","","NYK"
"1958","NBA","4","28","Johnny Cox","Kentucky","73","1685","573","280","142",".421","",".704","23.1","7.8","3.8","1.9","0.5",".015","","","NYK"
"1958","NBA","5","36","Don Lane","Dayton","","","","","","","","","","","","","","","","","NYK"
"1958","NBA","6","44","Joe King","Oklahoma","","","","","","","","","","","","","","","","","NYK"
"1958","NBA","7","52","Owen Lawson","Western Kentucky","","","","","","","","","","","","","","","","","NYK"
"1958","NBA","8","60","Milt Kane","Utah","","","","","","","","","","","","","","","","","NYK"
"1958","NBA","9","67","John McCarthy","Notre Dame","","","","","","","","","","","","","","","","","NYK"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","NYK"
"1957","NBA","1","5","Brendan McCann","St. Bonaventure","41","331","74","50","65",".204","",".700","8.1","1.8","1.2","1.6","-0.6","-0.085","","","NYK"
"1957","NBA","2","13","Larry Friend","California","44","569","175","106","47",".327","",".659","12.9","4.0","2.4","1.1","-0.4","-0.033","","","NYK"
"1957","NBA","3","21","Gary Clark","Syracuse","","","","","","","","","","","","","","","","","NYK"
"1957","NBA","4","29","Rayford Wells","Lenoir-Rhyne College","","","","","","","","","","","","","","","","","NYK"
"1957","NBA","5","37","Lee Marshall","Washington & Lee University","","","","","","","","","","","","","","","","","NYK"
"1957","NBA","6","45","Jim Humphrey","Saint Michael's College","","","","","","","","","","","","","","","","","NYK"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","NYK"
"1956","NBA","1","4","Ron Shavlik","NC State","8","74","10","23","0",".174","",".400","9.3","1.3","2.9","0.0","-0.3","-0.189","","","NYK"
"1956","NBA","2","12","Gary Bergen","Utah","6","40","8","8","1",".273","","1.000","6.7","1.3","1.3","0.2","0.0","-0.044","","","NYK"
"1956","NBA","3","20","Jerry Harper","Alabama","","","","","","","","","","","","","","","","","NYK"
"1956","NBA","4","28","Ronnie Mayer","Duke","","","","","","","","","","","","","","","","","NYK"
"1956","NBA","5","36","Joe Sexson","Purdue","","","","","","","","","","","","","","","","","NYK"
"1956","NBA","6","44","Pat Dunn","Utah State University","28","206","70","31","28",".311","",".824","7.4","2.5","1.1","1.0","-0.1","-0.013","","","NYK"
"1956","NBA","7","52","Jack Adams","Eastern Kentucky University","","","","","","","","","","","","","","","","","NYK"
"1956","NBA","8","60","Art Bunte","Utah","","","","","","","","","","","","","","","","","NYK"
"1956","NBA","9","67","Dick Miller","Wisconsin","","","","","","","","","","","","","","","","","NYK"
"1956","NBA","10","74","Howard Crittenden","Murray State","","","","","","","","","","","","","","","","","NYK"
"1956","NBA","11","80","Dick Miani","Miami (FL)","","","","","","","","","","","","","","","","","NYK"
"1956","NBA","12","84","Ed Petrie","Seton Hall","","","","","","","","","","","","","","","","","NYK"
"1956","NBA","13","88","Toby Roybal","New Mexico","","","","","","","","","","","","","","","","","NYK"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","NYK"
"1955","NBA","1","5","Kenny Sears","Santa Clara","529","14923","7355","4142","843",".455","",".826","28.2","13.9","7.8","1.6","55.8",".179","","","NYK"
"1955","NBA","2","13","Jerry Mullen","San Francisco","","","","","","","","","","","","","","","","","NYK"
"1955","NBA","3","21","Guy Sparrow","Detroit Mercy","150","2583","1167","728","142",".358","",".608","17.2","7.8","4.9","0.9","0.1",".003","","","NYK"
"1955","NBA","4","29","Ed Cole","Creighton","","","","","","","","","","","","","","","","","NYK"
"1955","NBA","5","37","Denver Brackeen","Ole Miss","","","","","","","","","","","","","","","","","NYK"
"1955","NBA","6","45","Howard Sessums","Mississippi College","","","","","","","","","","","","","","","","","NYK"
"1955","NBA","7","53","Jim Fay","St. Ambrose University","","","","","","","","","","","","","","","","","NYK"
"1955","NBA","8","61","Jack Beck","Truman State University","","","","","","","","","","","","","","","","","NYK"
"1955","NBA","9","69","Don Payne","Adelphi University","","","","","","","","","","","","","","","","","NYK"
"1955","NBA","10","77","Wally McCarvill","Iona College","","","","","","","","","","","","","","","","","NYK"
"1955","NBA","11","84","Charles Stickels","Hastings College","","","","","","","","","","","","","","","","","NYK"
"1955","NBA","12","91","Mickey Harrington","Southern Miss","","","","","","","","","","","","","","","","","NYK"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","NYK"
"1954","NBA","1","8","Jack Turner","Western Kentucky","65","922","282","154","77",".360","",".789","14.2","4.3","2.4","1.2","0.6",".032","","","NYK"
"1954","NBA","2","17","Richie Guerin","Iona College","848","27449","14676","4278","4211",".416","",".780","32.4","17.3","5.0","5.0","69.2",".121","","","NYK"
"1954","NBA","3","26","Don Anielak","Missouri State","1","10","3","2","0",".000","",".750","10.0","3.0","2.0","0.0","-0.1","-0.263","","","NYK"
"1954","NBA","4","35","Don Lange","United States Naval Academy","","","","","","","","","","","","","","","","","NYK"
"1954","NBA","5","44","Jesse Priscock","Kansas State","","","","","","","","","","","","","","","","","NYK"
"1954","NBA","6","53","Ron Rivers","Wyoming","","","","","","","","","","","","","","","","","NYK"
"1954","NBA","7","62","Solly Walker","St. John's","","","","","","","","","","","","","","","","","NYK"
"1954","NBA","8","71","Cob Jarvis","Mississippi State","","","","","","","","","","","","","","","","","NYK"
"1954","NBA","9","79","Henry Duckham","Polytechnic University","","","","","","","","","","","","","","","","","NYK"
"1954","NBA","10","88","John Clune","United States Naval Academy","","","","","","","","","","","","","","","","","NYK"
"1954","NBA","11","96","Bob Waller","Oklahoma","","","","","","","","","","","","","","","","","NYK"
"1954","NBA","12","99","Charles Stickels","Hastings College","","","","","","","","","","","","","","","","","NYK"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","NYK"
"1953","NBA","1T","8","Walter Dukes","Seton Hall","553","14671","5765","6223","608",".369","",".700","26.5","10.4","11.3","1.1","24.0",".079","","","NYK"
"1953","NBA","2","11","Don Ackerman","Long Island University","28","220","43","15","23",".222","",".536","7.9","1.5","0.5","0.8","-0.6","-0.123","","","NYK"
"1953","NBA","2","17","Neil Gordon","Furman University","","","","","","","","","","","","","","","","","NYK"
"1953","NBA","3","","Dick Atha","Indiana State University","43","448","137","66","51",".393","",".795","10.4","3.2","1.5","1.2","0.6",".068","","","NYK"
"1953","NBA","4","","Thomas Bishop","Southern Miss","","","","","","","","","","","","","","","","","NYK"
"1953","NBA","5","","Bob Santini","Iona College","4","23","11","3","1",".500","",".500","5.8","2.8","0.8","0.3","0.1",".127","","","NYK"
"1953","NBA","6","","Joe Smyth","Niagara University","40","495","131","98","49",".348","",".538","12.4","3.3","2.5","1.2","0.1",".006","","","NYK"
"1953","NBA","7","","Bob Matheny","California","","","","","","","","","","","","","","","","","NYK"
"1953","NBA","8","","Alan Schutts","Springfield College","","","","","","","","","","","","","","","","","NYK"
"1953","NBA","9","","Forrest Hamilton","Missouri State","","","","","","","","","","","","","","","","","NYK"
"1953","NBA","10","","Richard Prater","Kentucky","","","","","","","","","","","","","","","","","NYK"
"1953","NBA","11","","Larry O'Connor","Canisius","","","","","","","","","","","","","","","","","NYK"
"1953","NBA","12","","Delmer Diercks","Iowa State","","","","","","","","","","","","","","","","","NYK"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","NYK"
"1952","NBA","1","6","Ralph Polson","Whitworth","49","810","191","211","24",".363","",".635","16.5","3.9","4.3","0.5","0.8",".047","","","NYK"
"1952","NBA","2","","Bert Cook","Utah State University","37","424","118","72","33",".316","",".680","11.5","3.2","1.9","0.9","0.0","-0.006","","","NYK"
"1952","NBA","3","","Dick Bunt","NYU","26","271","92","28","17",".276","",".708","10.4","3.5","1.1","0.7","-0.3","-0.050","","","NYK"
"1952","NBA","4","","Roy Belliveau","Seton Hall","","","","","","","","","","","","","","","","","NYK"
"1952","NBA","5","","Ben Gibson","Saint Mary's","","","","","","","","","","","","","","","","","NYK"
"1952","NBA","6","","Dick Surhoff","Long Island University","58","545","178","94","32",".295","",".717","9.4","3.1","1.6","0.6","0.1",".013","","","NYK"
"1952","NBA","7","","Jim Julian","Missouri State","","","","","","","","","","","","","","","","","NYK"
"1952","NBA","8","","Paul Sullivan","Alabama","","","","","","","","","","","","","","","","","NYK"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","NYK"
"1951","NBA","1","6","Ed Smith","Harvard University","12","127","35","32","10",".286","",".538","10.6","2.9","2.7","0.8","-0.3","-0.105","","","NYK"
"1951","NBA","2","16","Roland Minson","BYU","","","","","","","","","","","","","","","","","NYK"
"1951","NBA","3","26","Joe Luchi","Cincinnati","","","","","","","","","","","","","","","","","NYK"
"1951","NBA","4","36","Lloyd Sandstrom","University of St. Thomas","","","","","","","","","","","","","","","","","NYK"
"1951","NBA","5","46","Tom Smith","Saint Peter's College","","","","","","","","","","","","","","","","","NYK"
"1951","NBA","6","56","Alfred McGuire","St. John's","191","2966","757","418","363",".379","",".551","15.5","4.0","2.2","1.9","5.5",".088","","","NYK"
"1951","NBA","7","66","Sid Ryen","Denver","","","","","","","","","","","","","","","","","NYK"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","NYK"
"1950","NBA","1","7","Irwin Dambrot","City College of New York","","","","","","","","","","","","","","","","","NYK"
"1950","NBA","2","19","Herb Scherer","Long Island University","32","167","115","76","23",".289","",".592","13.9","3.6","2.4","0.7","-0.4","-0.092","","","NYK"
"1950","NBA","3","31","Stan Weber","Bowling Green","","","","","","","","","","","","","","","","","NYK"
"1950","NBA","4","43","Joe Ossola","Saint Louis","","","","","","","","","","","","","","","","","NYK"
"1950","NBA","5","55","Dick Barnes","San Diego State","","","","","","","","","","","","","","","","","NYK"
"1950","NBA","6","67","Don Parsons","Rutgers University","","","","","","","","","","","","","","","","","NYK"
"1950","NBA","7","79","Dan Bagley","Notre Dame","","","","","","","","","","","","","","","","","NYK"
"1950","NBA","8","91","Charles Hope","Appalachian State University","","","","","","","","","","","","","","","","","NYK"
"1950","NBA","9","103","Don Heathington","Baylor","","","","","","","","","","","","","","","","","NYK"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","NYK"
"1949","BAA","1T","8","Dick McGuire","St. John's","738","17170","5921","2784","4205",".389","",".644","28.3","8.0","4.2","5.7","50.9",".115","","","NYK"
"1949","BAA","2","20","Harry Gallatin","Truman State University","682","15813","8843","6684","1208",".398","",".773","31.9","13.0","11.9","1.8","78.4",".182","","","NYK"
"1949","BAA","3","","Harry Donovan","Muhlenberg College","45","","253","","38",".327","",".689","","5.6","","0.8","1.0","","","","NYK"
"1949","BAA","4","","Ernie Vandeweghe","Colgate","224","3600","2135","834","548",".421","",".740","26.1","9.5","4.6","2.4","18.1",".162","","","NYK"
"1949","BAA","5","","Bill Kleine","Missouri Valley College","","","","","","","","","","","","","","","","","NYK"
"1949","BAA","6","","Don Bagley","Notre Dame","","","","","","","","","","","","","","","","","NYK"
"1949","BAA","7","","Bob Prewitt","SMU","","","","","","","","","","","","","","","","","NYK"
"1949","BAA","8","","Ken Kearns","Arkansas","","","","","","","","","","","","","","","","","NYK"
"1949","BAA","9","","Bill Litchfield","Emporia State University","","","","","","","","","","","","","","","","","NYK"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","NYK"
"1948","BAA","1","4","Dolph Schayes","NYU","996","29800","18438","11256","3072",".380","",".849","34.4","18.5","12.1","3.1","142.4",".192","","","NYK"
"1948","BAA","2","","Harry Gallatin","Truman State University","682","15813","8843","6684","1208",".398","",".773","31.9","13.0","11.9","1.8","78.4",".182","","","NYK"
"1948","BAA","3","","Mel McGaha","Arkansas","51","","176","","51",".318","",".591","","3.5","","1.0","1.5","","","","NYK"
"1948","BAA","4","","Ed Peterson","Cornell","115","","804","288","99",".384","",".627","","7.0","5.4","0.9","6.6","","","","NYK"
"1948","BAA","5","","Dick Shrider","Ohio University","4","","1","","2","","",".333","","0.3","","0.5","0.0","","","","NYK"
"1948","BAA","6","","Gene Berce","Marquette","3","","10","","2",".313","",".000","","3.3","","0.7","-0.1","","","","NYK"
"1948","BAA","7","","Tex Ritter","Eastern Kentucky University","151","","789","65","145",".348","",".674","","5.2","1.9","1.0","5.7","","","","NYK"
"1948","BAA","8","","Leland Byrd","West Virginia","","","","","","","","","","","","","","","","","NYK"
"1948","BAA","9","","Keith Grimes","East Central University","","","","","","","","","","","","","","","","","NYK"
"1948","BAA","10","","John Stanich","UCLA","","","","","","","","","","","","","","","","","NYK"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","NYK"
"1947","BAA","1","5","Dick Holub","Long Island University","48","","504","","37",".295","",".633","","10.5","","0.8","4.2","","","","NYK"
"1947","BAA","2","","Ray Evans","Kansas","","","","","","","","","","","","","","","","","NYK"
"1947","BAA","3","","Ed Golub","","","","","","","","","","","","","","","","","","NYK"
"1947","BAA","4","","Garland Head","Texas Tech","","","","","","","","","","","","","","","","","NYK"
"1947","BAA","5","","Ron Livingston","Saint Mary's","117","","732","297","217",".286","",".692","","6.3","4.7","1.9","2.4","","","","NYK"
"1947","BAA","6","","Andy Duncan","William & Mary","136","","746","30","101",".408","",".596","","5.5","2.1","0.7","6.8","","","","NYK"
"1947","BAA","7","","Wat Misaka","Utah","3","","7","","0",".231","",".333","","2.3","","0.0","0.0","","","","NYK"
"1947","BAA","8","","Dan Miller","Saint Louis","","","","","","","","","","","","","","","","","NYK"
"1947","BAA","9","","Carl Reichert","Findlay (OH)","","","","","","","","","","","","","","","","","NYK"
"1947","BAA","10","","Tom Tomlinson","SMU","","","","","","","","","","","","","","","","","NYK"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","OKC"
"2024","NBA","1","12","Nikola Topić","","","","","","","","","","","","","","","","","","OKC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","OKC"
"2023","NBA","1","12","Dereck Lively (↳DAL)","Duke","66","1541","578","453","85",".737",".000",".514","23.3","8.8","6.9","1.3","6.0",".187","1.0","1.2","OKC"
"2023","NBA","2","37","Hunter Tyson (↳DEN)","Clemson","26","127","38","22","6",".417",".217","1.000","4.9","1.5","0.8","0.2","0.1",".026","-7.3","-0.2","OKC"
"2023","NBA","2","50","Keyontae Johnson","Kansas State","9","66","11","10","4",".313",".333","","7.3","1.2","1.1","0.4","-0.1","-0.068","-9.8","-0.1","OKC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","OKC"
"2022","NBA","1","2","Chet Holmgren","Gonzaga","92","2678","1521","735","220",".527",".370",".790","29.1","16.5","8.0","2.4","10.0",".180","3.6","3.8","OKC"
"2022","NBA","1","12","Jalen Williams","Santa Clara","162","5020","2759","725","653",".530",".394",".814","31.0","17.0","4.5","4.0","15.3",".146","1.9","5.0","OKC"
"2022","NBA","1","30","Peyton Watson (↳DEN)","UCLA","116","1989","731","341","111",".464",".318",".673","17.1","6.3","2.9","1.0","3.3",".079","-2.3","-0.1","OKC"
"2022","NBA","2","34","Jaylin Williams","Arkansas","118","1811","564","475","186",".426",".385",".747","15.3","4.8","4.0","1.6","4.3",".114","-0.3","0.8","OKC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","OKC"
"2021","NBA","1","6","Josh Giddey","","226","6515","3108","1633","1302",".460",".314",".744","28.8","13.8","7.2","5.8","8.9",".066","0.5","4.2","OKC"
"2021","NBA","1","16","Alperen Şengün (↳HOU)","","226","6177","3426","1837","864",".524",".286",".709","27.3","15.2","8.1","3.8","16.5",".128","2.5","7.0","OKC"
"2021","NBA","1","18","Tre Mann","Florida","181","3856","1707","513","415",".411",".350",".788","21.3","9.4","2.8","2.3","2.1",".026","-3.3","-1.2","OKC"
"2021","NBA","2","34","Rokas Jokubaitis (↳NYK)","","","","","","","","","","","","","","","","","","OKC"
"2021","NBA","2","36","Miles McBride (↳NYK)","West Virginia","183","2750","991","217","255",".408",".357",".763","15.0","5.4","1.2","1.4","5.0",".088","-1.3","0.5","OKC"
"2021","NBA","2","55","Aaron Wiggins","Maryland","214","4075","1590","634","263",".507",".398",".782","19.0","7.4","3.0","1.2","8.5",".100","-1.6","0.4","OKC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","OKC"
"2020","NBA","1","25","Immanuel Quickley (↳NYK)","Kentucky","294","7442","4024","986","1024",".421",".375",".857","25.3","13.7","3.4","3.5","19.0",".122","1.1","5.7","OKC"
"2020","NBA","2","53","Cassius Winston (↳WAS)","Michigan State","29","137","55","10","19",".409",".435",".900","4.7","1.9","0.3","0.7","0.1",".051","-4.9","-0.1","OKC"
"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP","PTS","TRB","AST","WS","WS/48","BPM","VORP","OKC"
