"Year","Lg","Rd","Pk","Player","College","G","MP","PTS","TRB","AST","FG%","3P%","FT%","MP_PerGame","PTS_PerGame","TRB_PerGame","AST_PerGame","WS","WS_per_48","BPM","VORP","Team"
"2006","NBA","1","7","Randy Foye (↳POR ↳MIN)","Villanova","752","19279","7729","1686","2112",".401",".366",".852","25.6","10.3","2.2","2.8","23.5",".058","-1.2","3.8","BOS"
"2020","NBA","1","19","Saddiq Bey (↳DET)","Villanova","292","8804","4103","1532","538",".408",".352",".842","30.2","14.1","5.2","1.8","14.6",".079","-0.7","2.9","NJN"
"2020","NBA","2","55","Jay Scrubb (↳LAC)","John A. Logan College","24","235","97","36","10",".416",".313",".765","9.8","4.0","1.5","0.4","-0.1","-0.014","-6.6","-0.3","NJN"
"2019","NBA","1","17","Nickeil Alexander-Walker (↳ATL ↳NOP)","Virginia Tech","312","6180","2600","717","694",".411",".359",".729","19.8","8.3","2.3","2.2","6.8",".053","-1.3","1.0","NJN"
"2019","NBA","1","27","Mfiondu Kabengele (↳LAC)","Florida State","55","380","143","81","19",".383",".301",".852","6.9","2.6","1.5","0.3","0.4",".055","-3.6","-0.2","NJN"
"2018","NBA","2","45","Hamidou Diallo (↳CHO ↳OKC)","Kentucky","265","4918","2272","1009","283",".495",".274",".623","18.6","8.6","3.8","1.1","6.2",".060","-2.1","-0.1","NJN"
"2017","NBA","1","27","Kyle Kuzma (↳LAL)","Utah","482","15090","8349","3083","1308",".450",".336",".734","31.3","17.3","6.4","2.7","14.7",".047","-1.2","3.1","NJN"
"2016","NBA","2","55","Marcus Paige (↳UTA)","UNC","5","28","12","4","3",".286",".250","1.000","5.6","2.4","0.8","0.6","0.0","-0.006","-8.8","0.0","NJN"
"2015","NBA","2","41","Pat Connaughton (↳POR)","Notre Dame","566","11044","3417","1944","781",".434",".356",".774","19.5","6.0","3.4","1.4","23.4",".102","-0.5","4.3","NJN"
"2011","NBA","1","27","JaJuan Johnson (↳BOS)","Purdue","36","298","114","58","6",".446","",".667","8.3","3.2","1.6","0.2","0.2",".032","-3.9","-0.1","NJN"
"2010","NBA","1","27","Jordan Crawford (↳ATL)","Xavier","281","6843","3432","703","883",".411",".317",".826","24.4","12.2","2.5","3.1","6.3",".044","-1.3","1.3","NJN"
"2010","NBA","2","31","Tibor Pleiß (↳ATL)","","12","82","24","15","2",".440",".000","1.000","6.8","2.0","1.3","0.2","-0.1","-0.041","-11.6","-0.2","NJN"
