year,school,final standing
2000,DUNBAR,Champion
2000,DUVAL,Champion
2000,FREDERICK,Semifinalist
2000,GLENELG,Finalist
2000,GWYNN PARK,Semifinalist
2000,LINGANORE,Finalist
2001,ARUNDEL,Semifinalist
2001,BLADENSBURG,Semifinalist
2001,BOHEMIA MANOR,Semifinalist
2001,WINSTON CHURCHILL,Finalist
2001,STEPHEN DECATUR,Semifinalist
2001,DUNBAR,Champion
2001,FAIRMONT HEIGHTS,Semifinalist
2001,LA PLATA,Finalist
2001,GLENELG,Champion
2002,ABERDEEN,Semifinalist
2002,BOHEMIA MANOR,Semifinalist
2002,CHESAPEAKE (AA),Semifinalist
2002,WINSTON CHURCHILL,Champion
2002,DUNBAR,Champion
2002,DUVAL,Champion
2002,JOPPATOWNE,Semifinalist
2002,GWYNN PARK,Champion
2002,HAMMOND,Finalist
2002,HEREFORD,Semifinalist
2002,JOPPATOWNE,Semifinalist
2002,MARDELA,Semifinalist
2003,ABERDEEN,Semifinalist
2003,ARUNDEL,Semifinalist
2003,WINSTON CHURCHILL,Champion
2003,DUNBAR,Champion
2003,DUVAL,Semifinalist
2003,JOPPATOWNE,Semifinalist
2003,GWYNN PARK,Champion
2003,JOPPATOWNE,Semifinalist
2004,ARUNDEL,Champion
2004,CITY COLLEGE,Semifinalist
2004,DAMASCUS,Semifinalist
2004,STEPHEN DECATUR,Semifinalist
2004,GWYNN PARK,Champion
2005,CATOCTIN,Semifinalist
2005,CITY COLLEGE,Finalist
2005,GOV. THOMAS JOHNSON,Semifinalist
2006,ARUNDEL,Semifinalist
2006,ATHOLTON,Semifinalist
2006,CATOCTIN,Champion
2006,LEONARDTOWN,Finalist
2006,GWYNN PARK,Semifinalist
2007,ATHOLTON,Champion
2007,JAMES H. BLAKE,Finalist
2007,FALLSTON,Semifinalist
2007,LARGO,Champion
2008,ALLEGANY,Finalist
2008,ARUNDEL,Finalist
2008,ATHOLTON,Finalist
2008,JAMES H. BLAKE,Semifinalist
2008,DIGITAL HARBOR,Semifinalist
2008,DULANEY,Semifinalist
2009,ALLEGANY,Semifinalist
2009,ARUNDEL,Semifinalist
2009,JAMES H. BLAKE,Finalist
2009,BROADNECK,Semifinalist
2009,CITY COLLEGE,Champion
2009,DIGITAL HARBOR,Champion
2009,DOUGLASS (PG),Semifinalist
2009,FALLSTON,Champion
2009,GAITHERSBURG,Semifinalist
2009,LINGANORE,Semifinalist
2010,ARUNDEL,Champion
2010,CENTENNIAL,Semifinalist
2010,DIGITAL HARBOR,Semifinalist
2010,DOUGLASS (PG),Semifinalist
2010,DUNBAR,Semifinalist
2010,FALLSTON,Champion
2010,GAITHERSBURG,Semifinalist
2010,LEONARDTOWN,Finalist
2010,GWYNN PARK,Finalist
2010,HEREFORD,Semifinalist
2010,MARDELA,Semifinalist
2010,LIBERTY,Semifinalist
2011,ABERDEEN,Finalist
2011,CALVERT,Champion
2011,DIGITAL HARBOR,Semifinalist
2011,DOUGLASS (PG),Semifinalist
2011,DUNBAR,Champion
2011,FREDERICK,Champion
2011,GAITHERSBURG,Champion
2011,GAITHERSBURG,Semifinalist
2011,JOPPATOWNE,Finalist
2011,HEREFORD,Semifinalist
2011,JOPPATOWNE,Finalist
2011,MARDELA,Semifinalist
2011,HOWARD,Semifinalist
2011,ELKTON,Semifinalist
2012,ABERDEEN,Champion
2012,CALVERT,Champion
2012,CENTURY,Finalist
2012,DUNBAR,Champion
2012,FORT HILL,Semifinalist
2012,FREDERICK,Semifinalist
2012,GAITHERSBURG,Champion
2012,JOPPATOWNE,Champion
2012,KENT COUNTY,Semifinalist
2012,JOPPATOWNE,Champion
2013,ABERDEEN,Champion
2013,CALVERT,Champion
2013,DAMASCUS,Semifinalist
2013,DUNBAR,Finalist
2013,FRIENDLY,Semifinalist
2013,JOPPATOWNE,Champion
2013,HEREFORD,Semifinalist
2013,JOPPATOWNE,Champion
2013,MARDELA,Semifinalist
2014,CALVERT,Finalist
2014,DAMASCUS,Finalist
2014,DUNBAR,Semifinalist
2014,HEREFORD,Semifinalist
2014,COL. ZADOK MAGRUDER,Semifinalist
2014,MARDELA,Semifinalist
2015,FOREST PARK,Semifinalist
2015,FORESTVILLE,Champion
2016,FOREST PARK,Semifinalist
2016,FORESTVILLE,Champion
2016,FREDERICK,Semifinalist
2016,KENT ISLAND,Semifinalist
2016,LARGO,Champion
2016,GLENELG,Champion
2017,ATHOLTON,Finalist
2017,CATONSVILLE,Champion
2017,DOUGLASS (PG),Finalist
2017,FREDERICK,Champion
2017,KENT ISLAND,Semifinalist
2017,MARRIOTTS RIDGE,Semifinalist
2018,BETHESDA-CHEVY CHASE,Semifinalist
2018,CATONSVILLE,Finalist
2018,COPPIN ACADEMY,Semifinalist
2018,DOUGLASS (PG),Finalist
2018,FREDERICK,Champion
2018,GWYNN PARK,Semifinalist
2018,LONG REACH,Finalist
2019,ABERDEEN,Semifinalist
2019,BETHESDA-CHEVY CHASE,Semifinalist
2019,COPPIN ACADEMY,Semifinalist
2019,DOUGLASS (PG),Semifinalist
2019,FREDERICK,Champion
2019,GAITHERSBURG,Semifinalist
2019,JOPPATOWNE,Semifinalist
2019,JOPPATOWNE,Semifinalist
2019,LONG REACH,Semifinalist
2019,CHARLES H. FLOWERS,Champion
2020,CHESAPEAKE MATH & IT NORTH,Semifinalist
2020,WINSTON CHURCHILL,Semifinalist
2020,COPPIN ACADEMY,Semifinalist
2020,EASTON,Semifinalist
2020,FOREST PARK,Semifinalist
2020,FREDERICK,Semifinalist
2020,LA PLATA,Semifinalist
2020,HOWARD,Semifinalist
2020,CHARLES H. FLOWERS,Semifinalist
2022,CATOCTIN,Finalist
2022,FALLSTON,Champion
2022,FOREST PARK,Semifinalist
2022,FORT HILL,Semifinalist
2022,GLEN BURNIE,Semifinalist
2022,GWYNN PARK,Semifinalist
2022,HEREFORD,Finalist
2022,HOWARD,Finalist
2022,CHARLES H. FLOWERS,Semifinalist
2023,WINSTON CHURCHILL,Finalist
2023,FOREST PARK,Semifinalist
2023,KENT ISLAND,Finalist
2023,HENRY E. LACKEY,Champion
2023,LA PLATA,Finalist
2023,GLEN BURNIE,Champion
2023,HOWARD,Champion
2024,BETHESDA-CHEVY CHASE,Finalist
2024,CATOCTIN,Semifinalist
2024,CLARKSBURG,Champion
2024,FOREST PARK,Semifinalist
2024,FRANCIS SCOTT KEY,Finalist
2024,GWYNN PARK,Semifinalist
2024,HAMMOND,Champion
2024,CHARLES H. FLOWERS,Semifinalist
